++++++++++++++++++++++++++++++++++++++++++++++++++
++ BİLİNMEYEN NOKTALARIN YAKLAŞIK KOORDİNATLARI ++
++++++++++++++++++++++++++++++++++++++++++++++++++
  NNO              Y(m)               X(m)
    1         496903,82000       4046947,61000
    2         497031,72000       4047001,42000
    3         497103,46000       4047053,66000
    5         497188,39000       4047051,71000
    6         497334,05000       4047046,13000
    7         497287,74000       4046926,82000
    8         497242,97000       4046952,85000
    9         497219,67000       4046939,81000
   12         497064,92000       4046820,22000
   13         497009,72000       4046803,67000
--------------------------------------------------

