++++++++++++++++++++++++++++++++++++++++++
++      DENGELİ NOKTA KOORDİNATLARI     ++
++++++++++++++++++++++++++++++++++++++++++
NNO            Y(m)            X(m)
------------------------------------------
1          496903,7014  4046947,60538
2         497031,66812  4047001,44329
3         497103,44048  4047053,70952
5         497188,41842  4047051,75979
6         497334,15534  4047046,17894
7         497287,81489  4046926,81204
8         497243,02505  4046952,85074
9         497219,70865  4046939,8006
12         497064,87764  4046820,14714
13         497009,65001  4046803,59256
