++++++++++++++++++++++++++++++++++++++
++ DÜZELTME DEĞERLERİ(V) (DOĞRULTU) ++
++++++++++++++++++++++++++++++++++++++
DN         BN        Düzeltme(cc)
---------------------------------
1          2          0,60523        
1          12         -0,10099       
1          13         -0,50424       
2          1          -0,80192       
2          3          1,64193        
2          9          2,30343        
2          12         -9,50314       
2          13         6,35971        
3          8          0,53786        
3          9          -0,26447       
3          12         0,42267        
3          2          -0,24979       
3          5          -0,44626       
5          9          0,26636        
5          3          0,7651         
5          6          0,63588        
5          7          0,07707        
5          8          -1,74441       
6          7          0,58275        
6          8          -0,07006       
6          5          -0,5127        
7          5          -0,41946       
7          6          -0,9652        
7          8          1,38466        
8          6          0,53403        
8          7          -13,96329      
8          9          8,01342        
8          3          3,90474        
8          5          1,5111         
9          2          -1,71226       
9          3          -0,68844       
9          5          2,33103        
9          8          0,32257        
9          12         -0,2529        
12         1          -0,30174       
12         2          0,10326        
12         3          -2,17921       
12         5          -3,35489       
12         9          -12,63081      
12         13         18,3634        
13         1          0,4535         
13         2          -0,0754        
13         12         -0,3781        
