++++++++++++++++
++ Verilenler ++
++++++++++++++++

---------------------------------------------------------------------------
  DN         BN      Ölç. Kenar(m)    Hes. Kenar(m)      lvek(cm)
---------------------------------------------------------------------------
    1          2        138,8319        138,7585         7,34
    1         12        205,4819        205,3812        10,08
    1         13        178,7880        178,6996         8,84
    2         12        184,3116        184,2164         9,52
    2         13        199,0712        198,9700        10,12
    2          3         88,7872         88,7448         4,24
    2          9        197,8868        197,7903         9,65
    3          5         85,0008         84,9524         4,84
    3          8        172,2103        172,1212         8,91
    3          9        162,7686        162,6855         8,30
    3         12        236,7236        236,6000        12,36
    5          6        145,8438        145,7668         7,69
    5          7        159,6611        159,5868         7,43
    5          8        112,9810        112,9260         5,50
    5          9        116,2490        116,1897         5,92
    6          7        128,0486        127,9824         6,62
    6          8        130,4422        130,3715         7,07
    7          8         51,8098         51,7872         2,26
    8          9         26,7202         26,7008         1,94
    9         12        195,6773        195,5744        10,30
   12         13         57,6529         57,6276         2,52
