+İTERASYONLU SERBEST DENGELEME SONUÇ RAPORU (DOĞRULTU-KENAR AĞI)+
+Mehmed Zübeyir GÜNAYDIN+
*************************************

++++++++++++++++++++++++++++++++++++++++++++++++++
++ BİLİNMEYEN NOKTALARIN YAKLAŞIK KOORDİNATLARI ++
++++++++++++++++++++++++++++++++++++++++++++++++++
  NNO              Y(m)               X(m)
    1         496903,82000       4046947,61000
    2         497031,72000       4047001,42000
    3         497103,46000       4047053,66000
    5         497188,39000       4047051,71000
    6         497334,05000       4047046,13000
    7         497287,74000       4046926,82000
    8         497242,97000       4046952,85000
    9         497219,67000       4046939,81000
   12         497064,92000       4046820,22000
   13         497009,72000       4046803,67000
--------------------------------------------------


++++++++++++++++
++ Verilenler ++
++++++++++++++++

---------------------------------------------------------------------------
  DN         BN      Ölç. Kenar(m)    Hes. Kenar(m)      lvek(cm)
---------------------------------------------------------------------------
    1          2        138,8319        138,7585         7,34
    1         12        205,4819        205,3812        10,08
    1         13        178,7880        178,6996         8,84
    2         12        184,3116        184,2164         9,52
    2         13        199,0712        198,9700        10,12
    2          3         88,7872         88,7448         4,24
    2          9        197,8868        197,7903         9,65
    3          5         85,0008         84,9524         4,84
    3          8        172,2103        172,1212         8,91
    3          9        162,7686        162,6855         8,30
    3         12        236,7236        236,6000        12,36
    5          6        145,8438        145,7668         7,69
    5          7        159,6611        159,5868         7,43
    5          8        112,9810        112,9260         5,50
    5          9        116,2490        116,1897         5,92
    6          7        128,0486        127,9824         6,62
    6          8        130,4422        130,3715         7,07
    7          8         51,8098         51,7872         2,26
    8          9         26,7202         26,7008         1,94
    9         12        195,6773        195,5744        10,30
   12         13         57,6529         57,6276         2,52

+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
+ İterasyon Sayısı =	 53  +
+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
 
+++++++++++++++++++++++++++++++++++++++
AĞA İLİŞKİN BİLGİLER
Doğrultu Ölçü Sayısı           nd =  43 
Yöneltme Bilinmeyeni Sayisi   YBS =  10 
Kenar Ölçü Sayısı              nk =  21 
Bilinmeyen Nokta Sayısı         u =  10 
Datum Defekti                   d =   3 
Serbestlik Derecesi         n-u+d =  37 
+++++++++++++++++++++++++++++++++++++++


++++++++++++++++++++++++++++++++
++     SONUÇ DENETİMLERİ      ++
++     -----------------      ++
++   VtPV        = 42,52782     ++
++   VtPL        = 42,52782     ++
++   LPLt_xtAPLt = 42,52782     ++
++++++++++++++++++++++++++++++++


++++++++++++++++++++++++++++++++++++++
++ DÜZELTME DEĞERLERİ(V) (DOĞRULTU) ++
++++++++++++++++++++++++++++++++++++++
DN         BN        Düzeltme(cc)
---------------------------------
1   2          0,60523        
1   12         -0,10099       
1   13         -0,50424       
2   1          -0,80192       
2   3          1,64193        
2   9          2,30343        
2   12         -9,50314       
2   13         6,35971        
3   8          0,53786        
3   9          -0,26447       
3   12         0,42267        
3   2          -0,24979       
3   5          -0,44626       
5   9          0,26636        
5   3          0,7651         
5   6          0,63588        
5   7          0,07707        
5   8          -1,74441       
6   7          0,58275        
6   8          -0,07006       
6   5          -0,5127        
7   5          -0,41946       
7   6          -0,9652        
7   8          1,38466        
8   6          0,53403        
8   7          -13,96329      
8   9          8,01342        
8   3          3,90474        
8   5          1,5111         
9   2          -1,71226       
9   3          -0,68844       
9   5          2,33103        
9   8          0,32257        
9   12         -0,2529        
12  1          -0,30174       
12  2          0,10326        
12  3          -2,17921       
12  5          -3,35489       
12  9          -12,63081      
12  13         18,3634        
13  1          0,4535         
13  2          -0,0754        
13  12         -0,3781        

++++++++++++++++++++++++++++++++++++++
++ DÜZELTME DEĞERLERİ(V) (KENAR)    ++
++++++++++++++++++++++++++++++++++++++
DN         BN        Düzeltme(cc)
---------------------------------
1   2          -0,10831       
1   12         0,13623        
1   13         -0,09197       
2   12         0,11098        
2   13         0,09296        
2   3          -0,07629       
2   9          -0,03052       
3   5          -0,05211       
3   8          -0,01297       
3   9          -0,0258        
3   12         0,08408        
5   6          -0,00073       
5   7          -0,02222       
5   8          0,0796         
5   9          0,05213        
6   7          -0,20982       
6   8          -0,11176       
7   8          -0,10287       
8   9          -0,01597       
9   12         -0,00783       
12  13         0,25285        

++++++++++++++++++++++++++++++++++++++
++   DENGELİ NOKTA KOORDİNATLARI    ++
++++++++++++++++++++++++++++++++++++++
NNO            Y(m)            X(m)
--------------------------------------
1   496903,7014      4046947,60538  
2   497031,66812     4047001,44329  
3   497103,44048     4047053,70952  
5   497188,41842     4047051,75979  
6   497334,15534     4047046,17894  
7   497287,81489     4046926,81204  
8   497243,02505     4046952,85074  
9   497219,70865     4046939,8006   
12   497064,87764     4046820,14714  
13   497009,65001     4046803,59256  

+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
++ Birim Ölçünün Karesel Ortalama Hatasi(cc) = 1,08489 ++
